132	114810
132	224509
132	340592
132	426678
132	489563
278	79870
434	32499
434	40152
434	50733
434	424320
448	28123
448	52713
448	55701
448	56684
448	75848
448	80796
448	104366
448	114138
448	131874
448	154321
448	158327
448	203546
448	260305
448	334420
448	334588
448	338300
448	362528
448	366149
448	375133
448	389968
448	396362
448	410087
448	455467
448	471848
448	475036
448	504629
448	519832
448	520877
448	525658
842	93615
842	93617
842	167799
842	502776
924	30018
924	66628
924	158013
924	185616
924	369741
924	414973
1015	231400
1015	441874
1015	466135
1164	52705
1164	123137
1164	232111
1164	413736
1164	517097
1500	31980
1500	130542
1500	180569
1500	331200
1500	524027
1776	159988
1776	194944
1776	321831
1776	371067
1776	399039
1776	446503
1776	518125
1776	518984
1776	533437
1820	135942
1820	160700
1820	167642
1820	185834
1820	206265
1820	233088
1820	394137
1820	516947
1820	537745
1822	164421
1822	262908
1822	285611
1822	386841
1841	58900
1841	365870
1841	420862
1841	444762
1841	472228
2117	28123
2117	75848
2117	104366
2117	158327
2117	168181
2117	467401
2126	3951
2126	40319
2126	48815
2126	535792
2154	66628
2154	221852
2411	101280
2411	163311
2411	351827
2411	396936
2411	471620
2411	489239
2411	539353
2411	539578
2486	458993
2625	71292
2625	164151
2625	168608
2625	395771
2625	419830
2625	433665
2625	467711
2753	10492
2753	308657
2753	317267
2753	341742
2753	536330
2797	15952
2797	129002
2797	140476
2797	348877
2797	412353
2797	463702
2797	472962
2797	480884
2797	497828
2797	499649
2797	501124
2849	71772
2849	325027
2849	362720
2849	527901
2935	37312
2935	76588
2935	136512
2935	159870
2935	175417
2935	185930
2935	197590
2935	216822
2935	219109
2935	243758
2935	246509
2935	314903
2935	329234
2935	375325
2935	418746
2935	498635
2935	532895
3120	101939
3120	246768
3120	276847
3120	362551
3120	436450
3365	90677
3365	97698
3365	118408
3365	493057
3460	71772
3460	325027
3460	362720
3460	527901
3542	67627
3542	267766
3542	327394
3542	382101
3542	509123
3670	152841
3670	468534
3670	504221
3670	540443
3833	33812
3833	73400
3833	98332
3833	131211
3833	306781
3833	343242
3951	8130
3951	25482
3951	71938
3951	344945
3951	373235
3951	412381
3951	420900
3951	435544
3951	439705
3951	444746
3951	453143
3951	535792
3951	536374
4146	33803
4146	102775
4146	251959
4146	265445
4146	306793
4146	421033
4146	444942
4146	487055
4328	123953
4464	190377
4464	229447
4464	329897
4464	379369
4464	494068
4464	522935
4484	195830
4484	451248
4484	475223
4645	193112
4645	250774
4645	311029
4645	401615
4645	425538
4825	147607
4825	325027
4825	362720
4825	372872
4829	26373
4829	49761
4829	73400
4829	74439
4829	131211
4829	335763
4829	494481
5238	168720
5238	229510
5238	406305
5238	445716
5238	494860
5338	10997
5338	29201
5338	42819
5338	185630
5338	319052
5338	423124
5437	254311
5437	373268
5437	450407
5437	499218
6050	37532
6050	59217
6050	265901
6579	335763
6579	412670
6579	432937
6579	452884
6579	494481
6688	80778
6688	174472
6688	262879
6688	416431
6688	452257
6971	281663
6971	491586
6971	492399
6971	535723
7001	250774
7001	374773
7001	401615
7001	425538
7100	86724
7100	167698
